id,latin,family,category,origin,climate,common,tempmax_celsius,tempmax_fahrenheit,tempmin_celsius,tempmin_fahrenheit,ideallight,toleratedlight,watering,insects,diseases,use
19,Agave verschaffeltii,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Blue Agave; Century plant,35,95.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary
20,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Emerald Beauty,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Table top; Ground cover; Tertiary
21,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Jubilee,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
22,Agave striata,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Lilliput Agave; Century plant; Nana,35,95.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary
23,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Abidjan,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
24,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Maria Chirstina,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Ground cover; Tertiary
25,Alocasia nebula Imperialis,Araceae,Other,Cultivar,Tropical humid,Elephant ear,28,82.4,15,59.0,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary
26,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Emerald Isle,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
27,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Mary Ann,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
28,Allamanda nerifolia,Apocynaceae,Flower,Brazil,Tropical,Golden Trumpet,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale; Spider mite,N/A,Flower
29,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; BJ Freeman,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary
30,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Marguerita,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary
31,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Emerald Star,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Secondary
32,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Silver Bay,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
33,Aspidistra elatior,Liliaceae,Foliage plant,China,Subtropical,Cast iron plant,28,82.4,8,46.4,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,N/A,Ground cover; Potted plant
34,Anthurium superbum,Araceae,Anthurium,Ecuador,Tropical,Bronze Anthurium,28,82.4,18,64.4,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug,N/A,Table top; Colors / Forms; Secondary
35,Caryota mitis,Palmae,Palm, India,Tropical,Fish tail palm,25,77.0,10,50.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Primary
36,Codiaeum petra,Euphorbiaceae,Foliage plant,Cultivar,Tropical,Croton,28,82.4,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Secondary
37,Cereus peruvianus,Cactaceae,Cactus And Succulent,Brazil,Arid Tropical,Tree Cereus,35,95.0,5,41.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,N/A,Potted plant; Primary
38,Blechnum gibbum,Polypodiaceae,Fern,New Calidonia,Tropical humid,Miniature tree fern; Dwarf tree fern,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary
39,Chamaedorea elegans,Arecaceae,Palm,Mexico,Tropical,Bella palm; Neanthebella palm; Dwarf palm; Parlor palm,28,82.4,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Potted plant; Tertiary
40,Calathea veitchiana,Marantaceae,Foliage plant,Hybrid,Tropical,Medallion Calathea,25,77.0,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover
41,Calathea pictura Argentea,Marantaceae,Foliage plant,Cultivar,Tropical,Silver Calathea,25,77.0,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover; Tertiary
42,Bougainvillea,Nyctaginaceae,Flower,Cultivar,Tropical,Bougainvillia; Paper flower,32,89.6,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Aphid; Mealy bug,N/A,Potted plant; Colors / Forms; Primary
43, Chamaedorea seifrizii,Arecaceae,Palm,Mexico,Tropical,Bamboo palm; Reed Palm,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Secondary
44, Alocasia X amazonica,Araceae,Other,Hybrid,Tropical humid,Elephant ear,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary
45,Anthurium X,Araceae,Anthurium,Cultivar,Tropical,Tailflower; Wax flower,22,71.6,18,64.4,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,Erwinia; Crown rot,Flower; Table top; Tertiary
46,Anthurium hookeri,Araceae,Anthurium,Guyana,Tropical humid,Bird nest Anthurium; Cabbage Anthurium,28,82.4,18,64.4,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Snail; Aphid,Erwinia; Crown rot,Potted plant; Secondary
47,Cissus rhombifolia,Vitaceae,Hanging,Cultivar,Subtropical,Grape Ivy; Ellen Danica,28,82.4,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug,Downy mildiou; Powdery,Hanging; Ground cover
48,Cereus peruvianus Monstrosus,Cactaceae,Cactus And Succulent,Brazil,Arid Tropical,Monster cactus,35,95.0,5,41.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Scale; Mealy bug,N/A,Potted plant; Primary
49,Chamaedorea erumpens,Arecaceae,Palm,Honduras,Tropical,Bamboo palm,28,82.4,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Potted plant; Secondary
50,Calathea stromata,Marantaceae,Foliage plant,Brazil,Tropical,Stromante,25,77.0,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover
51,Codiaeum,Euphorbiaceae,Foliage plant,Cultivar,Tropical,Croton,28,82.4,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,N/A,Secondary; Tertiary
52,Calathea rufibarba,Marantaceae,Foliage plant,Brazil,Tropical,Velvet Calathea,25,77.0,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover
53,Alocasias X Amazonica var,Araceae,Other,Hybrid,Tropical humid,Elephant ear,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Table top; Tertiary
54,Crassula argentea,Crasssulaceae,Cactus And Succulent,South Africa,Subtropical arid,Jade Plant,35,95.0,12,55.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Potted plant; Primary
55,Alocasias X Amazonica,Araceae,Other,Hybrid,Tropical humid,Elephant ear,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,Phytophtora; Crown rot,Colors / Forms; Potted plant; Primary
56,Cissus rhombifolia,Vitaceae,Hanging,Central America & South America,Tropical,Grape Ivy,28,82.4,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug,Downy mildiou; Powdery,Hanging; Ground cover
57,Anthurium schlechtendalii,Araceae,Anthurium,Costa rica,Tropical,Bird nest Anthurium; Cabbage Anthurium,28,82.4,18,64.4,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Aphid,N/A,Potted plant; Colors / Forms; Primary
58,Chamaedorea metallica,Arecaceae,Palm,Mexico,Tropical,Miniature fishtail; Steel palm,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Secondary
59,Aspidistra elatior Minor,Liliaceae,Foliage plant,Japan,Subtropical,Cast iron plant; Aspidistra Milky Way,28,82.4,8,46.4,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Spider mite; Mealy bug; Scale,N/A,Ground cover; Potted plant
60,Calathea ornata Rosea lineata,Marantaceae,Foliage plant,Cultivar,Tropical,Stiped calathea,25,77.0,10,50.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Ground cover; Tertiary
61,Asplenium nidus,Aspleniaceae,Fern,Asia,Tropical humid,Birdnest fern,28,82.4,15,59.0,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,N/A,Potted plant; Primary
62,Anthurium hookeri,Araceae,Anthurium,Guyana,Tropical humid,Bird nest Anthurium; Cabbage Anthurium,28,82.4,18,64.4,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Snail; Aphid,Erwinia; Crown rot,Potted plant; Primary
63,Chlorophytum comosum,Liliaceae,Hanging,Central Africa,Tropical to subtropical,Spider plant,28,82.4,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,N/A,N/A,Hanging; Ground cover
64,Didymochlaena truncatula,Dryopteridaceae,Fern,South America,Tropical humid,Tree Maindenhair fern,30,20.0,5,41.0,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,N/A,Potted plant; Tertiary
65,Dieffenbachia,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Tropic Mary Ann,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant
66,Dieffenbachia,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Star Bright,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Potted plant; Secondary
67,Dracaena marginata,Liliaceae,Dracaena,Cultivar,Tropical,Madagascar dragon tree; Tricolor,28,82.4,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale; Spider mite,N/A,Potted plant; Secondary
68,Dracaena fragrans Massangeana,Liliaceae,Dracaena,Cultivar,Tropical,Cornstalk plant,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Primary
69,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Janet Craig,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary
70,Cryptanthus Rose Eliane,Bromeliaceae,Bromeliad,Cultivar,Tropical,,28,82.4,10,50.0,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,N/A,N/A,Table top; Primary
71,Dracaena reflexa,Liliaceae,Dracaena, India,Tropical,Yellow Malaysian Dracaena; Song of India,30,20.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Primary
72,Dieffenbachia maculata,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Carina,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant
73,Dracaena reflexa,Liliaceae,Dracaena,Cultivar,Tropical,Malaysian Dracaena; Song of Jamaica,30,20.0,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Potted plant; Secondary
74,Cycas revoluta,Cycadaceae,Palm,Japan,Subtropical,Sago palm; King sago,30,20.0,8,46.4,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,N/A,Potted plant; Primary
75,Crassula argentea,Crasssulaceae,Cactus And Succulent,South Africa,Subtropical arid,Jade Plant,35,95.0,12,55.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,N/A,Potted plant; Primary
76,Ctenanthe lubbersiana,Marantaceae,Foliage plant,Brazil,Tropical,Phrynium,25,77.0,12,53.6,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,N/A,Potted plant; Secondary
77,Dracaena reflexa,Liliaceae,Dracaena,Madagascar,Tropical,Malaysian Dracaena,30,20.0,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Table top; Tertiary
78,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Striped Dracaena; Gold Star,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary
79,Cyrtomium falcatum,Dryopteridaceae,Fern,Asia,Subtropical,Holly-fern,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Scale; Mealy bug,N/A,Potted plant; Ground cover
80,Dracaena deremensis,Liliaceae,Dracaena,Africa,Tropical,Dwarf bouquet; Calypso Queen; Janet Craig Compacta,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary
81,Davallia trichomannoides,Davalliaceae,Fern,Canaries,Tropical,Rabbits foot; Squirrels foot,25,77.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Scale,N/A,Hanging; Potted plant
82,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Lisa Dracaena; Lisa,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Primary
83,Dracaena marginata,Liliaceae,Dracaena,Madagascar,Tropical,Madagascar dragon tree,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale; Spider mite,N/A,Potted plant; Secondary
84,Dracaena deremensis,Liliaceae,Dracaena,Africa,Tropical,Striped Dracaena; Warneckei,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary
85,Dracaena deremensis,Liliaceae,Dracaena,Cultivar,Tropical,Striped Dracaena; Lemon Lime,30,20.0,10,50.0,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Table top; Tertiary
86,Dieffenbachia maculata,Araceae,Dieffenbachia,Hybrid,Tropical,Dumcane; Camille,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant
87,Dieffenbachia amoena,Araceae,Dieffenbachia,Cultivar,Tropical,Dumcane; Tropic Snow,28,82.4,12,53.6,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Potted plant; Secondary
88,Ficus elastica,Moraceae,Ficus,Cultivar,Tropical,Rubber plant; Tineke,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Table top; Tertiary
89,Dypsis lutescens,Arecaceae,Palm,Madagascar,Tropical,Areca palm; Butterfly palm,28,82.4,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary
90,Epiphyllum,Cactaceae,Cactus And Succulent,Hybrid,Tropical,Orchid cactus,32,89.6,5,41.0,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug,N/A,Hanging; Secondary
91,Echinocactus grusonii,Cactaceae,Cactus And Succulent,Central Mexico,Arid Tropical,Golden Barrel,40,104.0,5,41.0,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Mealy bug; Scale; Spider mite,N/A,Potted plant; Primary
92,Euphorbia milii,Euphorbiaceae,Cactus And Succulent,Madagascar,Arid Tropical,Christ thorn; Crown of thorns,35,95.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug; White fly,Downy mildiou; Gray mold,Table top; Tertiary
93,Epipremnum aureum,Araceae,Hanging,Cultivar,Tropical,White Pothos; Marble Queen,30,20.0,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Pythium,Hanging; Tertiary
94,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Guzmania Sunnytime,30,20.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary
95,Ficus maclellandii,Moraceae,Ficus,Cultivar,Tropical,Willow fig tree; Amstel King,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Primary
96,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Guzmania Empire,30,20.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary
97,Ficus benjamina,Moraceae,Ficus,Cultivar,Tropical,Weeping fig,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary
98,Fatsia japonica,Araliaceae,Aralia,Japan,Subtropical,Japanese Aralia,28,82.4,8,46.4,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Table top; Potted plant
99,Euphorbia ammack,Euphorbiaceae,Cactus And Succulent,Africa,Arid Tropical,Variegated Euphorbia,35,95.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Mealy bug; White fly,Downy mildiou,Potted plant; Primary
100,Ficus pumila,Moraceae,Ficus,Cultivar,Tropical,Creeping fig; Curl,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Hanging; Ground cover
101,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Claret,30,20.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary
102,Ficus elastica,Moraceae,Ficus,Cultivar,Tropical,Rubber plant; Robusta,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,N/A,Potted plant; Secondary
103,Hedera canariensis,Araliaceae,Hanging,Canaries,Subtropical,Algerian ivy; Montgomery ivy,30,20.0,5,41.0,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Hanging; Ground cover
104,Epipremnum aureum,Araceae,Hanging,South Pacific,Tropical,Golden Pothos,30,20.0,12,53.6,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Pythium,Hanging; Tertiary
105,Ficus lyrata,Moraceae,Ficus,Ouest Africa,Tropical,Fidleleaf fig,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary
106,Euphorbia ingens,Euphorbiaceae,Cactus And Succulent,South Africa,Arid Tropical,Giant Candelabra tree,35,95.0,12,53.6,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Downy mildiou,Potted plant; Primary
107,Ficus benjamina,Moraceae,Ficus,Cultivar,Tropical,Weeping fig; Monique,30,20.0,10,50.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,N/A,Potted plant; Secondary
108,Guzmania,Bromeliaceae,Bromeliad,Cultivar,Tropical,Guzmania; Mariposa,30,20.0,10,50.0,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Table top; Tertiary
